Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime
Aap Ki Kasam,3-May-74,0,0,0,1.6
Dost,12-Apr-74,0,0,0,2.5
Chor Machaye Shor,22-Mar-74,0,0,0,3
Pocket Maar,1-Jan-74,0,0,0,0.95
Patthar Aur Payal,1-Jan-74,0,0,0,1.75
Bidaai,1-Jan-74,0,0,0,2.2
Manchali,1-Jan-74,0,0,0,0.92
Pran Jaye Par Vachan Na Jaye,1-Jan-74,0,0,0,1.4
Resham Ki Dori,1-Jan-74,0,0,0,1.1
Geeta Mera Naam,1-Jan-74,0,0,0,1.2
Ajnabee,1-Jan-74,0,0,0,1.25
Dharam Karam,1-Dec-75,0,0,0,1.25
Warrant,6-Nov-75,0,0,0,2.25
Sanyasi,16-Oct-75,0,0,0,4.5
Rafoo Chakkar,1-Oct-75,0,0,0,2.5
Kala Sona,18-Sep-75,0,0,0,1.5
Sholay,15-Aug-75,0,0,0,15
Pratiggya,26-Jun-75,0,0,0,3.5
Umar Qaid,13-Jun-75,0,0,0,1.05
Jai Santoshi Maa,30-May-75,0,0,0,5
Chori Mera Kaam,2-May-75,0,0,0,2
Julie,18-Apr-75,0,0,0,1.4
Zameer,21-Mar-75,0,0,0,1.1
Deewaar,24-Jan-75,0,0,0,4.25
Prem Kahani,1-Jan-75,0,0,0,0.95
Do Thug,1-Jan-75,0,0,0,1.15
Chupke Chupke,1-Jan-75,0,0,0,1
Khel Khel Mein,30-Nov-74,0,0,0,1.7
Dharmatma,30-Nov-74,0,0,0,1.75
Zakhmee,30-Nov-74,0,0,0,1.6
Bairaag,4-Oct-76,0,0,0,1.05
Hera Pheri,3-Oct-76,0,0,0,3
Fakira,6-Sep-76,0,0,0,2.5
Charas,28-May-76,0,0,0,2.75
Dus Numbri,12-Mar-76,0,0,0,4.5
Kalicharan,7-Feb-76,0,0,0,2.25
Kabhi Kabhie,27-Jan-76,0,0,0,2
Chhoti Si Baat,1-Jan-76,0,0,0,0.98
Jaaneman,30-Nov-75,0,0,0,0.92
Shankar Dada,30-Nov-75,0,0,0,1.15
Maha Chor,30-Nov-75,0,0,0,0.98
Chitchor,30-Nov-75,0,0,0,0.95
Aap Beeti,30-Nov-75,0,0,0,1.3
Barood,30-Nov-75,0,0,0,1
Sangram,30-Nov-75,0,0,0,1.2
Do Anjane,30-Nov-75,0,0,0,1.5
Laila Majnu,30-Nov-75,0,0,0,4.25
Maa,30-Nov-75,0,0,0,1.75
Mehbooba,30-Nov-75,0,0,0,1.1
Nagin,30-Nov-75,0,0,0,3.5
Nehle Pe Dehla,30-Nov-75,0,0,0,1.02
Parvarish,11-Nov-77,0,0,0,3.75
Hum Kisise Kum Naheen,25-Aug-77,0,0,0,4.25
Amar Akbar Anthony,7-May-77,0,0,0,7.25
Chandi Sona,25-Mar-77,0,0,0,1.05
Khoon Pasina,21-Jan-77,0,0,0,2.5
Jadu Tona,30-Nov-76,0,0,0,1.1
Inkaar,30-Nov-76,0,0,0,1.9
Chhailla Babu,30-Nov-76,0,0,0,1.35
Adalat,30-Nov-76,0,0,0,2
Immaan Dharam,30-Nov-76,0,0,0,1.3
Apnapan,30-Nov-76,0,0,0,2.25
Chacha Bhatija,30-Nov-76,0,0,0,3.5
Khel Khilari Ka,30-Nov-76,0,0,0,1.5
Dulhan Wohi Jo Piya Man Bhaye,30-Nov-76,0,0,0,1.75
Dream Girl,30-Nov-76,0,0,0,1.45
Dildaar,30-Nov-76,0,0,0,1.4
Chakkar Pe Chakkar,30-Nov-76,0,0,0,1.15
Aashiq Hoon Baharon Ka,30-Nov-76,0,0,0,1
